"tko6kw6k2cirz9y7","3.3333","""Do Not Meddle""","Teaspoon","Adaptation","http://www.ifarchive.org/if-archive/games/glulx/Do_not_meddle.gblorb","Will you be one of the naughty, meddling boys, or the good one who obeys the dictum ""DO NOT MEDDLE""? 

Done largely as an exercise in third-person coding, this is a verbose adaptation of a 19th century Moral Fable for Children (borrowed from a McGuffey's Reader, in fact). "
"44vx0pl3rrfi533s","3.2667","'Mid the Sagebrush and the Cactus","Victor Gijsbers","Western","http://www.ifarchive.org/if-archive/games/glulx/SagebrushCactus.gblorb","They shot you in the leg, the sheriff or one of his men, but you still managed to get away. You always manage to get away. And while they're off pursuing you to, who knows, perhaps Colorado, you have quietly made your way back to where it all began. What better place to rest?

In ""'Mid the Sagebrush and the Cactus"", the player will have to use a tactical combination of talking and fighting to survive a meeting with David -- the son of the man he has just killed."
"8xa9rs1qwwkonif2","3.2","1982","Zach Samuels (as Iblis Snowsdottir)","","http://mattweiner.net/Shufflecomp%202014/1982/1982.gblorb",""
"qzftg3j8nh5f34i2","3.9517","9:05","Adam Cadre","Slice of life","http://www.ifarchive.org/if-archive/games/zcode/905.z5",""
"tyuvsh5fa7d5g7x6","3.0526","> by @","Aaron A. Reed","","http://templaro.com/games/greater-than-by-at-sign.zblorb",""
"c9ll6cr8zr1txtfe","3.7143","A Bear's Night Out","David Dyte","Children's/Fantasy","http://www.ifarchive.org/if-archive/games/zcode/spanish/osito.z5","""Tomorrow is the big Teddy Bear party, and you must definitely not let your owner forget about it..."" [--blurb from The Z-Files Catalogue]"
"00wlim27k5d1hmf2","3.4808","A Change in the Weather","Andrew Plotkin","Fantasy/Slice of life","http://www.ifarchive.org/if-archive/games/zcode/weather.z5","""Walking away from a picnic, you are suddenly caught in a country storm. You must protect a bridge from being destroyed. An ultra-linear game."" [--blurb from The Z-Files Catalogue]"
"41dz8rxf0b3wk3m3","3.0476","A Comedy of Error Messages","Adam Le Doux","","http://www.ifarchive.org/if-archive/games/competition2011/zcode/elfenmaiden/original/elfenMaiden.zblorb","A loyal but punctilious PC attempts to save its master from taking part in a disastrous blind-date, set up through the MMORPG Realms of Realmland.<br />
(This is the game formerly known as The Elfen Maiden) "
"7yiyxcnrlwejoffd","3.3239","A Day for Fresh Sushi","Emily Short","Humor/Slice of life","http://www.ifarchive.org/if-archive/games/zcode/Sushi.zblorb","No time for fantasy. Must feed fish."
"aktys788a52fac96","3.625","A Day for Soft Food","Tod Levi","Slice of life","http://www.ifarchive.org/if-archive/games/competition99/inform/softfood/softfood.z5","""Ever since the provider's sickness began, he's been all hisses and growls. Even the slightest misstep seems to annoy him. Perhaps that's why your bowl has held nothing but hard food lately. And not much of that."" [--blurb from Competition '99]"
"g4cgwblf9pzr91u","3.4444","A Flustered Duck","Jim Aikin","","http://www.ifarchive.org/if-archive/games/springthing/2009/FlusteredDuck.ulx",""
"14qjb3ersoyn4efx","3.2941","A Killer Headache","Mike Ciul","Horror / Zombie","http://www.ifarchive.org/if-archive/games/competition2012/glulx/headache/headache.gblorb","The apocalypse is over. The human race lost. You're hungry. And you have a hell of a headache.

Discretionary warning: This game is violent, scatological, and eschatological."
"wj5c5rcrv1xbhssk","3.3333","A New Life","A O Muniz","Fantasy","http://www.ifarchive.org/if-archive/games/competition2005/zcode/goblin/goblin.z5",""
"rsjzz9w60k6o6od4","4.3333","A Tight Spot","Quim K. Holland","Non-IF game","http://www.ifarchive.org/if-archive/games/zcode/ats.z8",""
"r1ayxo348ij7uk8p","3.3333","Absturzmomente","Jörg Rosenbauer","Slice of life","http://ifwizz.de/pub/games/g000376/abstmom.zblorb","You climb a mountain without any equipment and plunge down into the depths. The free fall ends in a pact with a voice from beyond: To spare your life you have to save some person's life. Henceforth, you have to prevent a murder in a house without being able to directly intervene into the action. »Absturzmomente« scored the fourth place in the German interactive fiction Grand Prix 2010.

The author's website for the game, including download of the babelized story file, is <a href=""http://tb44w.tipido.net/if0.html"">here</a> (used hosting service doesn't allow hotlinking)."
"a64jwvfed5vdsrcq","3.5417","Across The Stars: The Ralckor Incident","Dark Star and Peter Mattsson","Science Fiction","http://www.ifarchive.org/if-archive/games/competition2007/zcode/across/atsclues.z5","In the year 5367 IR, humanity is well established throughout the galaxy. It has been over twenty-thousand years since the Zal'tacs passed through our solar system, trading their technology for our food and resources.

Lucius Winterson, the Eurmerican ambassador delegated to greet the aliens, was so successful in his mission that he eventually became Earth's sole representative on the Zal'tac Council. In return, he acquired personal technology that has kept him alive throughout the millennia, creating an Empire in the process, the Xulthe'en Empire.

In Across The Stars, you serve the Xulthe'en Empire aboard a deep-space transport. Adjusting to your lifestyle hasn't been easy though, your berth is small and cramped and the twelve-and-a-half-hour shifts are long. The Captain even gave you an extra week of duty for not having your uniform property squared away. In a place this small, you're beginning to wonder if you have what it takes to serve the Empire. 

Set off on a new adventure, as you travel Across The Stars."
"xi4s5ne9m6w821xd","3.9519","Ad Verbum","Nick Montfort","Humor/Wordplay","http://www.ifarchive.org/if-archive/games/zcode/adverbum.z5","""With the cantankerous Wizard of Wordplay evicted from his mansion, the worthless plot can now be redeveloped. The city regulations declare, however, that the rip-down job can't proceed until all the items within had been removed.

As an adventurer hired by the demolitions contractor to kleptomaniacially clear out this mansion, you must engage in wordplay in order to gather all the items inside. It is not necessary to think of puns, cliches, or homonyms, however, as has been the case with previous logological interactive fiction. The puzzles in Ad Verbum are of a different -- and perhaps even unique -- nature."" [--blurb from Competition Aught-Zero]"
"epl4q2933rczoo9x","3.5278","Afflicted","Doug Egan","Horror","http://www.ifarchive.org/if-archive/games/competition2008/zcode/afflicted/afflicted.z8","This isn't the safest neighborhood. A young woman was abducted near here only recently. But as a city sanitarian you are obligated to complete your annual inspection of the local dive. [blurb from IF Comp 2008]"
